Trip_ID,VendorID,City,Pickup_Date,Pickup_Time,Dropoff_Time,Weekday,Month,Peak_Hour,Trip_Distance_km,Trip_Duration_min,Passenger_Count,Pickup_Zone,Dropoff_Zone,Pickup_Borough,Dropoff_Borough,Pickup_Latitude,Pickup_Longitude,Dropoff_Latitude,Dropoff_Longitude,Fare_Amount_INR,Tip_Amount_INR,Toll_Amount_INR,Total_Amount_INR,Payment_Method,Vehicle_Type,Driver_Rating,Ride_Status,Data_Source
TRIP000001,Rapido,Delhi,2025-12-10,21:30:00,22:58:00,Wednesday,December,Off-Peak,20.29,88.0,1,Delhi Central,Delhi West,Delhi Central,Delhi West,28.52595,77.26765,28.60805,77.11108,415.48,0.0,0,415.48,UPI,Bike,4.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000002,Rapido,Delhi,2026-01-29,05:19:00,05:24:24,Thursday,January,Off-Peak,1.19,5.4,4,Delhi South,Delhi East,Delhi South,Delhi East,28.62962,77.17532,28.54662,77.27195,62.38,0.0,0,62.38,Wallet,eBike,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000003,Rapido,Delhi,2026-01-09,21:08:00,21:13:12,Friday,January,Off-Peak,1.58,5.2,1,Delhi West,Delhi North,Delhi West,Delhi North,28.67993,77.2932,28.53257,77.22375,66.76,6.68,0,73.44,Wallet,Prime Sedan,4.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000004,Rapido,Delhi,2026-01-03,08:09:00,08:49:42,Saturday,January,Peak,9.38,40.7,1,Delhi East,Delhi North,Delhi East,Delhi North,28.62491,77.114,28.70847,77.20844,213.61,0.0,0,213.61,UPI,Auto,3.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000005,Ola,Delhi,2026-02-28,10:59:00,11:20:24,Saturday,February,Off-Peak,5.19,21.4,1,Delhi South,Delhi West,Delhi South,Delhi West,28.58943,77.16365,28.69681,77.24642,134.38,0.0,0,134.38,Cash,eBike,3.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000006,Rapido,Delhi,2026-01-31,17:36:00,17:51:42,Saturday,January,Off-Peak,3.66,15.7,1,Delhi East,Delhi Central,Delhi East,Delhi Central,28.57725,77.17842,28.60547,77.3094,107.47,0.0,0,107.47,UPI,Prime SUV,5.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000007,Rapido,Delhi,2026-01-31,19:56:00,20:05:12,Saturday,January,Peak,1.91,9.2,1,Delhi South,Delhi West,Delhi South,Delhi West,28.69306,77.22752,28.51552,77.30259,76.72,0.0,0,76.72,UPI,Mini,4.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000008,Rapido,Delhi,2026-02-04,18:54:00,18:56:36,Wednesday,February,Peak,0.5,2.6,1,Delhi East,Delhi South,Delhi East,Delhi South,28.68397,77.14478,28.51573,77.1429,49.9,0.0,0,49.9,Card,Prime SUV,3.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000009,Uber,Delhi,2026-01-21,03:36:00,04:05:36,Wednesday,January,Off-Peak,5.03,29.6,2,Delhi West,Delhi Central,Delhi West,Delhi Central,28.57563,77.12376,28.7084,77.24614,144.76,0.0,0,144.76,Wallet,Prime SUV,3.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000010,Rapido,Delhi,2025-12-21,16:42:00,17:48:06,Sunday,December,Off-Peak,19.88,66.1,1,Delhi North,Delhi West,Delhi North,Delhi West,28.57874,77.14691,28.51436,77.1611,377.71,0.0,0,377.71,UPI,Bike,4.1,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000011,Local Fleet,Delhi,2025-12-11,03:34:00,04:13:36,Thursday,December,Off-Peak,8.65,39.6,1,Delhi East,Delhi North,Delhi East,Delhi North,28.65234,77.23854,28.68605,77.27053,203.2,0.0,0,203.2,Wallet,Prime SUV,4.3,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000012,Ola,Delhi,2026-02-05,00:37:00,00:55:54,Thursday,February,Off-Peak,3.84,18.9,4,Delhi West,Delhi North,Delhi West,Delhi North,28.51208,77.14241,28.53046,77.11881,114.43,0.0,0,114.43,Cash,Bike,4.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000013,Rapido,Delhi,2026-02-08,21:26:00,22:15:24,Sunday,February,Off-Peak,14.74,49.4,2,Delhi East,Delhi West,Delhi East,Delhi West,28.58494,77.17709,28.70863,77.30711,290.98,0.0,0,290.98,UPI,Auto,4.7,Cancelled by Driver,Synthetic proxy (no real dataset exists for this city)
TRIP000014,Rapido,Delhi,2026-02-10,04:35:00,04:37:00,Tuesday,February,Off-Peak,0.54,2.0,3,Delhi South,Delhi East,Delhi South,Delhi East,28.52406,77.28794,28.54975,77.26138,49.48,0.0,0,49.48,UPI,Prime SUV,4.0,Incomplete,Synthetic proxy (no real dataset exists for this city)
TRIP000015,Uber,Delhi,2026-02-17,00:54:00,00:59:00,Tuesday,February,Off-Peak,1.35,5.0,4,Delhi South,Delhi Central,Delhi South,Delhi Central,28.64166,77.18576,28.58017,77.13161,63.7,0.0,0,63.7,UPI,Mini,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000016,Local Fleet,Delhi,2025-12-02,16:37:00,16:39:36,Tuesday,December,Off-Peak,0.59,2.6,4,Delhi North,Delhi North,Delhi North,Delhi North,28.61565,77.23563,28.69962,77.21774,50.98,0.0,0,50.98,Cash,Prime SUV,4.1,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000017,Rapido,Delhi,2026-02-20,08:56:00,09:24:06,Friday,February,Peak,5.18,28.1,3,Delhi East,Delhi West,Delhi East,Delhi West,28.56801,77.19069,28.67072,77.2374,144.31,0.0,0,144.31,UPI,Mini,4.4,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000018,Ola,Delhi,2025-12-23,03:37:00,03:57:36,Tuesday,December,Off-Peak,4.52,20.6,4,Delhi West,Delhi North,Delhi West,Delhi North,28.58602,77.12289,28.70759,77.23476,125.14,0.0,0,125.14,Wallet,eBike,3.7,Cancelled by Driver,Synthetic proxy (no real dataset exists for this city)
TRIP000019,Uber,Delhi,2026-02-18,04:45:00,04:53:54,Wednesday,February,Off-Peak,1.89,8.9,2,Delhi West,Delhi East,Delhi West,Delhi East,28.59047,77.11427,28.63203,77.19463,76.03,0.0,0,76.03,Wallet,Auto,4.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000020,Rapido,Delhi,2025-12-24,22:36:00,22:42:42,Wednesday,December,Off-Peak,1.39,6.7,1,Delhi West,Delhi West,Delhi West,Delhi West,28.55084,77.15965,28.54837,77.14163,66.73,3.34,0,70.07,Wallet,Bike,3.5,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000021,Rapido,Delhi,2026-02-14,19:03:00,19:19:30,Saturday,February,Peak,3.65,16.5,1,Delhi Central,Delhi West,Delhi Central,Delhi West,28.56491,77.15448,28.57651,77.18063,108.55,0.0,0,108.55,UPI,Prime Sedan,4.7,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000022,Ola,Delhi,2026-01-20,03:01:00,04:18:00,Tuesday,January,Off-Peak,18.93,77.0,4,Delhi West,Delhi South,Delhi West,Delhi South,28.51625,77.12978,28.57697,77.12479,382.66,0.0,60,442.66,Wallet,eBike,4.8,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000023,Uber,Delhi,2025-12-04,02:32:00,03:38:48,Thursday,December,Off-Peak,12.42,66.8,2,Delhi East,Delhi South,Delhi East,Delhi South,28.51038,77.29728,28.6954,77.24351,289.24,0.0,0,289.24,Cash,Mini,3.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000024,Uber,Delhi,2026-01-27,02:06:00,02:09:00,Tuesday,January,Off-Peak,0.5,3.0,3,Delhi West,Delhi Central,Delhi West,Delhi Central,28.54,77.16824,28.62602,77.27519,50.5,0.0,0,50.5,UPI,eBike,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000025,Uber,Delhi,2026-02-10,06:54:00,07:01:30,Tuesday,February,Off-Peak,1.58,7.5,1,Delhi Central,Delhi Central,Delhi Central,Delhi Central,28.59521,77.28788,28.62467,77.30308,70.21,0.0,0,70.21,UPI,eBike,4.3,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000026,Local Fleet,Delhi,2026-02-19,22:44:00,23:20:54,Thursday,February,Off-Peak,7.37,36.9,2,Delhi West,Delhi West,Delhi West,Delhi West,28.6943,77.20831,28.65582,77.1854,183.79,0.0,40,223.79,UPI,Bike,4.2,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000027,Uber,Delhi,2026-02-27,18:28:00,19:22:12,Friday,February,Peak,10.27,54.2,1,Delhi South,Delhi Central,Delhi South,Delhi Central,28.55356,77.19522,28.70439,77.27535,244.54,0.0,0,244.54,UPI,Auto,4.6,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000028,Rapido,Delhi,2025-12-28,00:23:00,00:36:06,Sunday,December,Off-Peak,2.33,13.1,1,Delhi West,Delhi North,Delhi West,Delhi North,28.53612,77.11637,28.56469,77.29019,87.61,0.0,0,87.61,UPI,Prime Sedan,4.0,Completed,Synthetic proxy (no real dataset exists for this city)
TRIP000029,Ola,Delhi,2026-01-06,08:39:00,09:17:42,Tuesday,January,Peak,10.05,38.7,4,Delhi West,Delhi West,Delhi West,Delhi West,28.62795,77.14069,28.53054,77.21465,218.65,0.0,0,218.65,Cash,Prime Sedan,3.6,Completed,Synthetic proxy (no real dataset exists for this city)
